指数名称,指数代码,基金代码,基金名称,基金类型,净值,净值日期
中证白酒,SZ399997,012414,招商中证白酒指数(LOF)C,指数型-股票,0.8289,2025-09-08 15:00
中证白酒,SZ399997,161725,招商中证白酒指数(LOF)A,指数型-股票,0.8324,2025-09-08 15:00
