指数名称,指数代码,基金代码,基金名称,基金类型,净值,净值日期
国证食品,SZ399396,015040,国泰国证食品饮料行业(LOF)C,指数型-股票,0.8465,2025-09-08 15:00
国证食品,SZ399396,159843,招商国证食品饮料ETF,指数型-股票,0.6945,2025-09-08 15:00
国证食品,SZ399396,160222,国泰国证食品饮料行业(LOF)A,指数型-股票,0.8556,2025-09-08 15:00
