日期,指数名称,指数代码,PE,PE百分位,PB,PB百分位,股息率,ROE
2025-09-08,国证地产,SZ399393,0,0,0.8915,0.2132,0.0113,0
2025-09-08,养老产业,SZ399812,15.5199,0.0804,2.2472,0.2584,0.0218,0.1448
2025-09-08,中证白酒,SZ399997,19.7762,0.1296,5.4672,0.266,0.0362,0.2765
2025-09-08,国证食品,SZ399396,22.1124,0.1252,4.7189,0.2684,0.0331,0.2134
2025-09-08,中国互联,CSIH11136,18.5187,0.1104,3.0528,0.3384,0.0094,0.1648
2025-09-08,中概互联50,CSIH30533,19.3625,0.1216,3.1725,0.3512,0.0085,0.1638
2025-09-08,主要消费,SH000932,20.1736,0.0416,4.5505,0.302,0.0318,0.2256
2025-09-08,消费红利,CSIH30094,20.2168,0.1052,4.6457,0.3344,0.0368,0.2298
2025-09-08,恒生科技,HKHSTECH,22.1865,0.253,3.2473,0.6996,0.0094,0.1464
2025-09-08,全指可选,SH000989,22.4206,0.2804,2.584,0.4836,0.0221,0.1153
2025-09-08,中证医疗,SZ399989,37.5661,0.386,4.0496,0.1588,0.0152,0.1078
2025-09-08,中证银行,SZ399986,7.1471,0.886,0.7032,0.3952,0.04,0.0984
2025-09-08,标普价值,SPACEVCP,7.2136,0.6784,0.7953,0.6552,0.043,0.1102
2025-09-08,上证红利,SH000015,7.8408,0.7468,0.7578,0.4636,0.044,0.0966
2025-09-08,红利低波,CSIH30269,8.188,0.7456,0.8276,0.5144,0.0426,0.1011
2025-09-08,中证红利,SH000922,8.1923,0.6752,0.7917,0.3756,0.0445,0.0966
2025-09-08,红利成长LV,CSI931157,8.4935,0.7366,0.8525,0.5139,0.0468,0.1004
2025-09-08,标普红利,CSPSADRP,8.4942,0.888,0.9347,0.5776,0.0443,0.11
2025-09-08,300价值,SH000919,9.1145,0.728,0.9327,0.4468,0.0393,0.1023
2025-09-08,300红利LV,CSI930740,9.1533,0.8368,0.9223,0.5076,0.0409,0.1008
2025-09-08,香港大盘,HSFML25,10.1262,0.7812,1.0352,0.5588,0.0272,0.1022
2025-09-08,央视50,SZ399550,10.1281,0.8104,1.0556,0.284,0.0365,0.1042
2025-09-08,基本面50,SH000925,10.1711,0.8248,1.0469,0.4204,0.0373,0.1029
2025-09-08,国企指数,HKHSCEI,10.4954,0.8956,1.0726,0.79,0.0267,0.1022
2025-09-08,50AH优选,SH000170,10.6456,0.8128,1.1336,0.5949,0.0332,0.1065
