日期,指数名称,指数代码,PE,PE百分位,PB,PB百分位,股息率,ROE
2025-09-08,恒生指数,HKHSI,11.7215,0.7804,1.1983,0.79,0.0306,0.1022
2025-09-08,上证50,SH000016,11.8004,0.8808,1.2836,0.6836,0.0332,0.1088
2025-09-08,上证180,SH000010,12.0767,0.8128,1.2487,0.4528,0.0293,0.1034
2025-09-08,沪深300,SH000300,13.986,0.8064,1.4548,0.478,0.0262,0.104
2025-09-08,中证煤炭,SZ399998,14.2411,0.756,1.4895,0.7308,0.0528,0.1046
2025-09-08,MSCI中国,CSI716567,14.4332,0.8118,1.4767,0.5865,0.0249,0.1023
2025-09-08,东证竞争,CSI931142,15.3781,0.8172,2.4042,0.8156,0.0268,0.1563
2025-09-08,深证红利,SZ399324,15.6112,0.4884,2.5305,0.8464,0.0399,0.1621
2025-09-08,标普质量,SPCQVCP,15.6419,0.424,2.777,0.3848,0.0208,0.1775
2025-09-08,中证100,SH000903,16.0946,0.9976,1.7398,0.9292,0.0276,0.1081
2025-09-08,香港中小,SPHCMSHP,18.2308,0.9628,1.3943,0.6704,0.0281,0.0765
2025-09-08,德国DAX,GDAXI,18.8585,0.6236,2.0157,0.9816,0.0246,0.1069
2025-09-08,证券公司,SZ399975,20.0523,0.336,1.5582,0.4348,0.0133,0.0777
2025-09-08,国证A指,SZ399317,21.4,0.9104,1.7766,0.5316,0.0186,0.083
2025-09-08,基本面60,SZ399701,21.4698,0.7456,2.1412,0.4484,0.0253,0.0997
2025-09-08,500低波,CSI930782,21.8585,0.6695,1.6406,0.7368,0.0197,0.0751
2025-09-08,基本面120,SZ399702,22.1828,0.818,2.1778,0.4592,0.0235,0.0982
2025-09-08,新经济,HKHSSCNE,24.2209,0.5194,3.5405,0.8317,0.0092,0.1462
2025-09-08,深证100,SZ399330,24.5374,0.726,2.7949,0.404,0.0196,0.1139
2025-09-08,标普500,SP500,28.5291,0.87,5.3139,0.9988,0.0116,0.1863
2025-09-08,深证成指,SZ399001,30.024,0.7656,2.6327,0.4204,0.0162,0.0877
2025-09-08,新能源车,SZ399417,32.2168,0.4976,3.9978,0.6244,0.0121,0.1241
2025-09-08,中证500,SH000905,33.4463,0.772,2.2198,0.698,0.0138,0.0664
2025-09-08,纳指100,NDX,35.0894,0.8044,9.6798,0.9736,0.0053,0.2759
2025-09-08,中证环保,SH000827,37.5929,0.866,2.6401,0.4224,0.0165,0.0702
2025-09-08,医药100,SH000978,38.4257,0.7744,3.7019,0.2748,0.0148,0.0963
2025-09-08,全指医药,SH000991,39.1156,0.6848,3.695,0.3728,0.0147,0.0945
2025-09-08,MSCI印度,935600,39.4212,0.906,5.3137,0.906,0.0092,0.1348
2025-09-08,中证传媒,SZ399971,40.7574,0.6232,2.6191,0.4844,0.0159,0.0643
2025-09-08,创业板,SZ399006,41.4059,0.414,5.1445,0.5588,0.0104,0.1242
2025-09-08,5G通讯,CSI931079,43.5706,0.8765,5.3815,0.9172,0.0077,0.1235
2025-09-08,TMT50,SZ399610,44.0059,0.7516,4.8757,0.7952,0.008,0.1108
2025-09-08,中证1000,SH000852,46.3112,0.7052,2.4557,0.4844,0.0112,0.053
2025-09-08,科技龙头,CSI931087,49.1836,0.8051,5.6025,0.6616,0.0079,0.1139
2025-09-08,中证电子,CSI930652,58.0583,0.9411,5.0932,0.9375,0.0064,0.0877
2025-09-08,全指信息,SH000993,67.0583,0.7876,5.0709,0.8588,0.0059,0.0756
2025-09-08,中证军工,SZ399967,109.5197,0.8008,3.7994,0.7324,0.0054,0.0347
2025-09-08,科创50,SH000688,178.0765,0.9949,5.7945,0.6307,0.0039,0.0325
