日期,指数名称,指数代码,PE,PE百分位,PB,PB百分位,股息率,ROE
2025-09-08,国证地产,SZ399393,0,0,0.8876,0.2092,0.0114,0
2025-09-08,养老产业,SZ399812,15.4325,0.0784,2.2346,0.2516,0.022,0.1448
2025-09-08,中证白酒,SZ399997,19.4791,0.1064,5.3851,0.258,0.0368,0.2765
2025-09-08,主要消费,SH000932,19.8416,0.0316,4.4756,0.276,0.0324,0.2256
2025-09-08,国证食品,SZ399396,21.8093,0.1052,4.6542,0.2384,0.0336,0.2134
2025-09-08,中国互联,CSIH11136,18.1646,0.1032,2.9945,0.3264,0.0098,0.1649
2025-09-08,中概互联50,CSIH30533,18.9908,0.106,3.1116,0.342,0.0089,0.1638
2025-09-08,消费红利,CSIH30094,19.9457,0.0848,4.5834,0.3092,0.0374,0.2298
2025-09-08,恒生科技,HKHSTECH,21.7967,0.2251,3.1903,0.6865,0.0097,0.1464
2025-09-08,全指可选,SH000989,22.2404,0.2684,2.5632,0.462,0.0226,0.1152
2025-09-08,中证医疗,SZ399989,36.1827,0.3704,3.899,0.1468,0.0156,0.1078
2025-09-08,标普价值,SPACEVCP,7.1556,0.6688,0.7889,0.6488,0.0433,0.1103
2025-09-08,中证银行,SZ399986,7.19,0.8952,0.7074,0.4044,0.0397,0.0984
2025-09-08,上证红利,SH000015,7.8823,0.7656,0.7618,0.4744,0.0439,0.0966
2025-09-08,红利低波,CSIH30269,8.2093,0.7476,0.8298,0.5148,0.0424,0.1011
2025-09-08,中证红利,SH000922,8.2202,0.6844,0.7944,0.3796,0.0444,0.0966
2025-09-08,红利成长LV,CSI931157,8.4978,0.7384,0.8529,0.5142,0.0468,0.1004
2025-09-08,标普红利,CSPSADRP,8.4991,0.8884,0.9353,0.5776,0.0443,0.11
2025-09-08,300价值,SH000919,9.1236,0.732,0.9337,0.4488,0.0392,0.1023
2025-09-08,300红利LV,CSI930740,9.1582,0.8376,0.9228,0.508,0.0408,0.1008
2025-09-08,香港大盘,HSFML25,9.9449,0.7428,1.0056,0.4724,0.0283,0.1011
2025-09-08,央视50,SZ399550,10.1165,0.806,1.0544,0.2808,0.0367,0.1042
